wallet_id,risk_score,transaction_count,total_borrowed,total_supplied,net_worth,unique_tokens,liquidation_count,max_leverage,position_concentration,leverage_risk,liquidity_risk,activity_risk,diversification_risk,liquidation_risk,behavioral_risk
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x880a0af12da55df1197f41697c1a1b61670ed410,705,15,0.0,29.43,29.43,5,0,0,0.629,0.0,0.671,0.79,0.36,0.0,1.0
0x8aaece100580b749a20f8ce30338c4e0770b65ed,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0x8be38ea2b22b706aef313c2de81f7d179024dd30,646,30,0.0,288.61,288.61,6,0,0,0.995,0.0,0.638,0.53,0.26,0.0,1.0
0x8d900f213db5205c529aaba5d10e71a0ed2646db,777,9,0.0,0.0,0.0,3,0,0,1.0,0.3,0.892,0.316,0.56,0.0,1.0
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,760,5,0.0,3.57,3.57,4,0,0,1.0,0.0,0.94,0.79,0.46,0.0,1.0
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,500,56,0.0,44000.0,44000.0,6,0,0,0.453,0.0,0.181,0.37,0.26,0.0,1.0
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,781,2,0.0,29.72,29.72,2,0,0,1.0,0.0,0.976,0.79,0.62,0.0,1.0
0x9a363adc5d382c04d36b09158286328f75672098,817,2,0.0,0.0,0.0,2,0,0,1.0,0.3,0.976,0.79,0.62,0.0,0.7
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,778,4,0.0,24.43,24.43,2,0,0,1.0,0.0,0.952,0.79,0.62,0.0,1.0
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,726,17,0.0,4416.89,4416.89,3,0,0,1.0,0.0,0.796,0.877,0.52,0.0,0.623
0x9e6ec4e98793970a1307262ba68d37594e58cd78,746,98,0.0,0.0,0.0,5,0,0,0.993,0.3,0.397,0.79,0.46,0.0,1.0
0xa7e94d933eb0c439dda357f61244a485246e97b8,725,4,0.0,1760.01,1760.01,2,0,0,1.0,0.0,0.952,0.315,0.62,0.0,1.0
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,529,143,0.0,10260000.0,10260000.0,9,0,0,0.897,0.0,0.359,0.37,0.16,0.0,1.0
0xa98dc64bb42575efec7d1e4560c029231ce5da51,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,750,8,0.0,11.05,11.05,4,0,0,1.0,0.0,0.904,0.79,0.42,0.0,1.0
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0xb57297c5d02def954794e593db93d0a302e43e5c,747,6,0.0,17.48,17.48,4,0,0,1.0,0.0,0.928,0.689,0.46,0.0,1.0
0xbd4a00764217c13a246f86db58d74541a0c3972a,491,69,0.0,21192000.0,21192000.0,11,0,0,0.96,0.0,0.384,0.529,0.06,0.0,0.603
0xc179d55f7e00e789915760f7d260a1bf6285278b,823,6,0.0,0.0,0.0,3,0,0,1.0,0.3,0.928,0.79,0.56,0.0,1.0
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,673,43,0.0,0.0,0.0,6,0,0,0.963,0.3,0.469,0.335,0.26,0.0,1.0
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,525,58,0.0,48452.54,48452.54,7,0,0,0.929,0.0,0.372,0.334,0.16,0.0,1.0
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,704,5,0.0,9.95,9.95,4,0,0,1.0,0.0,0.94,0.324,0.46,0.0,1.0
0xcf0033bf27804640e5339e06443e208db5870dd2,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
